番組ID,番組分類,ゲーム種別,番組名,バングミメイ,番組名補,バングミメイホ,放映話数,年齢制限,放映開始日
2698,"オリジナルビデオアニメーション","","AIKa Special TRIAL","アイカ2スペシャルトライアｌ","","","3","","1998-05-25"
9018,"オリジナルビデオアニメーション","","AIKa R-16:VIRGIN MISSION","アイカアールシックティーンバージンミッション","","","3","","2007-04-25"
14009,"ゲーム","アドベンチャー","あいかぎ2 ~濡れた髪が乾く前に~","アイカギツーヌレタカミガカワクマエニ","","","","18才以上","2006-10-27"
5843,"ゲーム","アドベンチャー","あいかぎ~ひだまりと彼女の部屋着~","アイカギヒダマリトカノジョノヘヤギ","","","","18才以上","2002-08-30"
12231,"オリジナルビデオアニメーション","","AIKa ZERO","アイカゼロ","","","3","","2009-08-25"
4034,"劇場用アニメーション","","愛華ちゃんの地球","アイカチャンノチキュウ","","","1","","1993-11-01"
15233,"テレビアニメーション","","アイカツ!","アイカツ","アイドルカツドウ!","アイドルカツドウ","178","","2012-10-08"
17761,"劇場用アニメーション","","劇場版 アイカツ!","アイカツ","アイドルカツドウ!","アイドルカツドウ","1","","2014-12-13"
19046,"テレビアニメーション","","アイカツスターズ!","アイカツスターズ","","","","","2016-04-07"
18939,"Webラジオ","","AIKATSU☆STARS!のラジカツ!","アイカツスターズノラジカツ","","","","","2015-09-07"
19007,"ゲーム","音楽アクション","アイカツ!フォトonステージ","アイカツフォトオンステージ","","","","","2016-03-07"
18495,"ゲーム","音楽アクション","アイカツ!My No.1 Stage!","アイカツマイナンバーワンステージ","","","","","2015-11-26"
18929,"劇場用アニメーション","","アイカツ! ミュージックアワード みんなで賞をもらっちゃいまSHOW!","アイカツミュージックアワードミンナデショウヲモラッチャイマショー","","","1","","2015-08-22"
14582,"オリジナルビデオアニメーション","","あい☆きゃん","アイキャン","","","","18才以上","2010-06-25"
11749,"ゲーム","アドベンチャー","あい☆きゃん","アイキャン","","","","18才以上","2009-08-28"
7387,"ゲーム","アドベンチャー","愛Cute! キミに恋してる","アイキュートキミニコイシテル","","","","18才以上","2004-02-27"
3547,"オリジナル特撮ビデオ","","愛國戦隊大日本","アイコクセンタイダイニッポン","","","","","1982-08-00"
15904,"ゲーム","アドベンチャー","あいこみゅ!! -IDOL Communication-","アイコミュアイドルコミュニケーション","","","","18才以上","2013-05-31"
6582,"ゲーム","アドベンチャー","アイコン~Icon~","アイコン","","","","18才以上","2003-06-06"
15239,"オリジナルビデオアニメーション","","愛妻日記~愛妻寝取られOVA~","アイサイニッキアイサイネトラレオーブイエー","","","1","18才以上","2010-12-22"
16748,"ゲーム","アドベンチャー","愛サレるームメイト","アイサレルームメイト","","","","18才以上","2014-01-31"
12275,"ゲーム","アドベンチャー","あいし~きゅ~ ボクっ娘なんて呼ばないでっ","アイシーキューボクッコナンテヨバナイデッ","","","","18才以上","2005-09-02"
7315,"テレビアニメーション","","アイシールド21","アイシールドニジュウイチ","","","145","","2005-04-06"
7237,"劇場用アニメーション","","アイシールド21 幻のゴールデンボウル","アイシールドニジュウイチ(エイガ1)","","","1","","2003-12-20"
